Trial,Jar,Treatment,settle_n,meta_n,swim_n,dead_n,settle_prop,meta_prop,swim_prop,dead_prop
1,1D,1,0,0,2,3,0,0,0.4,0.6
1,CD,0,4,0,1,0,0.8,0,0.2,0
1,10C,10,0,2,2,1,0,0.4,0.4,0.2
1,25D,25,2,2,1,0,0.4,0.4,0.2,0
1,50C,50,0,0,3,2,0,0,0.6,0.4
1,10D,10,0,1,4,0,0,0.2,0.8,0
1,1C,1,0,0,5,0,0,0,1,0
1,CC,0,2,0,3,0,0.4,0,0.6,0
1,50G,50,1,1,3,0,0.2,0.2,0.6,0
1,25C,25,1,0,4,0,0.2,0,0.8,0
1,25B,25,0,2,2,1,0,0.4,0.4,0.2
1,CA,0,1,0,4,0,0.2,0,0.8,0
1,50A,50,0,1,3,1,0,0.2,0.6,0.2
1,10B,10,0,0,5,0,0,0,1,0
1,CB,0,3,0,2,0,0.6,0,0.4,0
1,1A,1,0,0,5,0,0,0,1,0
1,25A,25,1,0,4,0,0.2,0,0.8,0
1,50B,50,0,1,1,3,0,0.2,0.2,0.6
1,1B,1,1,1,2,1,0.2,0.2,0.4,0.2
1,10A,10,0,1,3,1,0,0.2,0.6,0.2
2,CG,0,2,0,1,2,0.4,0,0.2,0.4
2,25H,25,0,0,5,0,0,0,1,0
2,1F,1,0,0,1,4,0,0,0.2,0.8
2,10G,10,0,0,5,0,0,0,1,0
2,1H,1,0,0,4,1,0,0,0.8,0.2
2,50D,50,1,3,0,1,0.2,0.6,0,0.2
2,10E,10,0,1,4,0,0,0.2,0.8,0
2,25E,25,0,0,5,0,0,0,1,0
2,CH,0,2,0,3,0,0.4,0,0.6,0
2,50H,50,0,1,4,0,0,0.2,0.8,0
2,25F,25,0,1,4,0,0,0.2,0.8,0
2,CF,0,1,0,4,0,0.2,0,0.8,0
2,50E,50,0,0,4,1,0,0,0.8,0.2
2,50F,50,0,2,3,0,0,0.4,0.6,0
2,1G,1,1,0,4,0,0.2,0,0.8,0
2,CE,0,0,0,4,1,0,0,0.8,0.2
2,1E,1,0,1,4,0,0,0.2,0.8,0
2,10H,10,0,0,5,0,0,0,1,0
2,25G,25,0,3,2,0,0,0.6,0.4,0
2,10F,10,0,0,5,0,0,0,1,0
3,0.5A,0.5,2,0,0,3,0.4,0,0,0.6
3,CI,0,0,0,4,1,0,0,0.8,0.2
3,1K,1,0,0,5,0,0,0,1,0
3,0.5C,0.5,1,0,4,0,0.2,0,0.8,0
3,CJ,0,1,0,4,0,0.2,0,0.8,0
3,1J,1,0,0,4,1,0,0,0.8,0.2
3,CL,0,4,0,0,1,0.8,0,0,0.2
3,0.5B,0.5,1,0,4,0,0.2,0,0.8,0
3,1L,1,0,0,5,0,0,0,1,0
3,0.5D,0.5,2,0,3,0,0.4,0,0.6,0
3,1I,1,0,0,4,1,0,0,0.8,0.2
3,CK,0,2,1,2,0,0.4,0.2,0.4,0
4,0.5F,0.5,0,0,4,1,0,0,0.8,0.2
4,25J,25,1,0,3,1,0.2,0,0.6,0.2
4,CN,0,0,0,2,3,0,0,0.4,0.6
4,10J,10,2,0,2,1,0.4,0,0.4,0.2
4,50I,50,0,0,4,1,0,0,0.8,0.2
4,10I,10,1,0,4,0,0.2,0,0.8,0
4,0.5E,0.5,1,0,4,0,0.2,0,0.8,0
4,25I,25,0,0,5,0,0,0,1,0
4,0.5H,0.5,3,0,2,0,0.6,0,0.4,0
4,CM,0,2,0,2,1,0.4,0,0.4,0.2
4,0.5G,0.5,2,0,2,1,0.4,0,0.4,0.2
4,50J,50,0,0,5,0,0,0,1,0
5,50L,50,0,4,0,1,0,0.8,0,0.2
5,25L,25,0,3,0,2,0,0.6,0,0.4
5,10L,10,1,2,2,0,0.2,0.4,0.4,0
5,0.5J,0.5,2,2,1,0,0.4,0.4,0.2,0
5,CO,0,4,0,1,0,0.8,0,0.2,0
5,0.5L,0.5,2,1,0,2,0.4,0.2,0,0.4
5,50K,50,0,0,4,1,0,0,0.8,0.2
5,25K,25,0,5,0,0,0,1,0,0
5,0.5K,0.5,2,0,0,3,0.4,0,0,0.6
5,CP,0,3,0,1,1,0.6,0,0.2,0.2
5,10K,10,0,1,2,2,0,0.2,0.4,0.4
5,0.5I,0.5,1,0,3,1,0.2,0,0.6,0.2
